Split,RTA,Loadless,Loads
Crisis City,0:02:36.190000,0:01:36.922000
Iblis Phase 1,0:04:17.027000,0:02:43.976000
Tropical Jungle,0:06:14.383000,0:03:55.847000
Wave Ocean: Blaze,0:08:12.297000,0:05:23.093000
Dusty Desert,0:11:02.868000,0:07:15.495000
Sonic the Hedgehog,0:12:07.779000,0:07:47.573000
White Acropolis,0:16:00.010000,0:10:26.071000
Egg-Genesis,0:17:42.525000,0:11:45.104000
Mission 12,0:19:19.990000,0:12:46.420000
Radical Train,0:21:58.293000,0:14:26.941000
Shadow the Hedgehog,0:23:37.564000,0:15:42.729000
Aquatic Base,0:26:09.698000,0:17:30.679000
Mission 14,0:29:18.216000,0:19:06.428000
Trials (Skip?),0:32:58.925000,0:22:14.303000
Kingdom Valley,0:36:18.852000,0:24:38.232000
Flame Core,0:41:05.552000,0:28:34.331000
Iblis Phase 3,0:43:49.893000,0:30:56.289000
