Split,RTA,Loadless,Loads
Mission 1,0:01:52.717000,0:00:39.470670,73 days, 5:54:42.912000
Wave Ocean,0:05:12.014000,0:03:20.552670,111 days, 11:04:18.912000
Egg Cerberus,0:07:26.611000,0:04:41.132670,165 days, 11:28:47.712000
Dusty Desert,0:09:15.228000,0:06:09.217670,186 days, 0:14:52.512000
Silver,0:10:29.760000,0:06:55.433670,214 days, 7:49:54.912000
Mission 5,0:11:40.592000,0:07:16.617670,263 days, 23:23:02.112000
Mission 11,0:13:37.649000,0:08:38.855670,298 days, 19:02:23.712000
Mission 12,0:15:18.531000,0:09:37.440670,341 days, 2:10:04.512000
White Acropolis,0:17:44.355000,0:11:21.463670,382 days, 21:23:30.912000
Crisis City,0:22:39.174000,0:15:14.347670,444 days, 19:49:54.912000
Flame Core,0:26:18.343000,0:18:20.234670,478 days, 2:35:59.712000
Iblis Phase 2,0:29:37.572000,0:21:10.229670,507 days, 8:12:57.312000
Radical Train,0:32:59.856000,0:23:41.230670,558 days, 15:00:28.512000
Egg Genesis,0:34:55.614000,0:25:07.605670,588 days, 0:11:59.712000
Tropical Jungle,0:37:55.077000,0:27:30.438670,624 days, 15:19:11.712000
Tails Wave Ocean,0:40:19.343000,0:29:17.072670,662 days, 6:29:16.512000
Mission 18,0:41:56.055000,0:30:03.336670,712 days, 17:14:23.712000
Mission 19,0:43:23.994000,0:31:06.259670,737 days, 17:37:26.112000
Mission 20,0:44:21.817000,0:31:36.995670,764 days, 19:42:42.912000
Kingdom Valley,0:49:54.221000,0:35:58.382670,835 days, 20:07:11.712000
Aquatic Base,0:54:37.619000,0:39:38.097670,899 days, 12:30:42.912000
Egg Wyvern,0:55:04.965000,0:39:45.243670,919 days, 17:18:42.912000
