start,duration,end
0.983,9.71633,10.69933
11.1333,0.583,11.7163
12.1163,2.8,14.916300000000001
15.1333,11.283,26.4163
31.5163,7.533,39.0493
40.3163,0.817,41.1333
41.2663,1.867,43.133300000000006
43.2663,1.516,44.7823
45.1333,0.533,45.6663
46.1823,10.167,56.3493
62.5823,11.951,74.53330000000001
76.2493,0.583,76.8323
77.1333,1.699,78.8323
79.1333,3.516,82.64930000000001
83.1333,2.533,85.6663
98.1993,0.566,98.7653
99.1333,5.583,104.716
118.716,1.649,120.365
121.133,10.832,131.965
143.799,0.583,144.382
144.716,2.417,147.13299999999998
147.199,1.45,148.649
149.133,10.0,159.13299999999998
230.849,1.183,232.03199999999998
233.133,2.0,235.133
235.266,5.867,241.13299999999998
241.599,1.267,242.86599999999999
305.782,0.967,306.74899999999997
310.249,1.583,311.83200000000005
312.282,7.451,319.733
320.316,0.683,320.99899999999997
321.133,2.666,323.799
324.249,13.783000000000001,338.032
360.082,7.834,367.916
368.799,9.6,378.399
412.482,3.5,415.982
416.133,6.583,422.716
434.916,0.916,435.832
439.133,1.766,440.899
444.399,1.917,446.31600000000003
446.832,7.95,454.782
455.133,5.649,460.782
461.133,5.066,466.19899999999996
548.582,1.3,549.882
553.133,1.816,554.949
555.416,14.383,569.7990000000001
570.316,11.666,581.9820000000001
616.782,2.267,619.0490000000001
622.133,1.983,624.116
627.999,1.5,629.499
630.399,10.4,640.799
641.133,1.5830000000000002,642.716
643.133,13.566,656.6990000000001
663.565,0.584,664.149
665.982,14.382999999999997,680.365
682.182,0.583,682.765
683.133,3.916,687.049
687.599,4.633,692.232
706.599,13.033000000000001,719.632
723.082,0.584,723.6659999999999
724.516,0.617,725.1329999999999
725.199,0.934,726.1329999999999
726.582,2.4,728.9820000000001
729.133,1.983,731.1160000000001
731.249,1.884,733.1329999999999
733.249,1.467,734.716
735.133,2.0,737.133
737.249,0.8,738.049
754.933,0.616,755.549
757.199,0.717,757.9159999999999
759.133,4.0,763.1329999999999
763.849,0.516,764.365
765.199,0.734,765.933
766.182,0.534,766.716
767.133,2.0,769.133
823.716,1.817,825.533
826.449,0.6,827.049
827.266,3.65,830.9159999999999
831.133,2.0,833.1329999999999
833.199,1.033,834.232
835.133,2.8,837.933
839.133,1.9660000000000002,841.099
843.133,6.649,849.782
850.199,0.85,851.049
851.133,1.849,852.9820000000001
853.133,1.733,854.866
855.133,3.583,858.716
859.199,0.6,859.799
874.482,0.6,875.082
876.182,0.65,876.832
877.199,4.7170000000000005,881.916
883.133,0.866,883.999
884.382,2.751,887.133
887.533,3.583,891.116
924.516,3.066,927.582
928.466,0.667,929.133
929.516,5.616999999999999,935.1329999999999
935.249,0.75,935.999
936.249,0.884,937.133
937.249,1.884,939.133
939.199,0.65,939.8489999999999
940.049,0.55,940.5989999999999
944.182,3.2169999999999996,947.399
948.116,8.933,957.049
1011.68,1.217,1012.8969999999999
1013.33,12.216000000000001,1025.546
1056.87,2.15,1059.02
1062.2,1.867,1064.067
1064.58,19.151,1083.73
1084.25,6.884,1091.13
1135.83,1.217,1137.047
1137.58,1.417,1138.996
1139.45,3.684,1143.13
1143.52,5.617,1149.13
1234.45,1.7999999999999998,1236.25
1237.58,8.7,1246.279
1278.13,1.232,1279.362
1280.2,0.917,1281.117
1281.2,5.45,1286.6460000000002
1287.13,2.983,1290.113
1334.58,0.551,1335.1309999999999
1352.85,1.033,1353.8829999999998
1357.13,1.8319999999999999,1358.969
1359.98,10.934,1370.914
1371.13,12.349,1383.479
1480.4,0.734,1481.134
1481.48,1.2,1482.68
1483.13,12.748999999999999,1495.8790000000001
1544.05,0.95,1545.0
1570.72,2.3,1573.02
1576.32,1.8,1578.12
1578.63,8.834,1587.4640000000002
1587.85,8.1,1595.9499999999998
1744.18,3.267,1747.4470000000001
1747.63,6.234,1753.864
1765.98,0.9,1766.88
1769.93,2.032,1771.966
1775.6,1.683,1777.283
1777.85,13.284,1791.1309999999999
1791.25,2.8000000000000003,1794.046
1794.52,1.55,1796.063
1796.45,1.467,1797.913
1798.0,1.134,1799.134
1799.2,1.783,1800.979
1801.13,0.783,1801.913
1802.32,0.817,1803.137
1804.05,0.75,1804.8
1805.13,3.183,1808.313
1828.22,1.2,1829.42
1829.92,3.133,1833.0529999999999
1833.13,5.6,1838.73
1839.13,3.666,1842.8000000000002
1914.2,1.183,1915.383
1917.13,8.0,1925.13
1973.52,0.95,1974.47
1977.73,1.832,1979.5620000000001
1980.12,18.6,1998.7199999999998
1999.22,9.333,2008.553
2083.38,1.45,2084.83
2088.02,1.883,2089.903
2093.93,1.333,2095.263
2096.4,0.65,2097.05
2097.35,4.033,2101.383
2102.32,0.55,2102.8700000000003
2103.13,1.516,2104.646
2105.13,2.783,2107.913
2108.32,1.583,2109.896
2110.25,0.633,2110.883
2121.4,1.2,2122.6
2123.58,1.217,2124.7999999999997
2125.13,8.699,2133.846
2209.78,1.217,2210.9970000000003
2212.13,0.632,2212.762
2213.2,0.783,2213.9829999999997
